,carlsen,chess,tournament,wins,championship,rapid,blitz,classical,win,world
"Billed as ""the first professional online chess tournament,"" the eight-player rapid tournament was held from 18 April to 3 May, with a $250,000 prize fund.",False,True,True,False,False,True,False,False,False,False
"In its 1,500-year history, chess has imbedded itself in the world's culture and vocabulary.",False,True,False,False,False,False,False,False,False,True
It was a preliminary event leading up to a rapid knockout tournament beginning the next day.,False,False,True,False,False,True,False,False,False,False
"""Grenke Classic 2017: Aronian misses win in exciting finale"" .",False,False,False,False,False,False,False,False,True,False
"The ""Rising Stars"" won the match 2822, with Carlsen achieving the best individual score for the Rising Stars team (6/10) and a 2700 PR, thus winning the right to participate in the 2007 Melody Amber tournament.",False,False,True,False,False,False,False,False,True,False
"[163] He reached the highest live rapid rating in history after the tournament, and was at that point ranked No.",False,False,True,False,False,True,False,False,False,False
Tatasteelchess.com .,False,True,False,False,False,False,False,False,False,False
"^ ""Magnus wins World Blitz to complete triple crown"" .",False,False,False,True,False,False,False,False,True,False
"Magnus Carlsen: ""My job is to improve my chess"".",False,True,False,False,False,False,False,False,False,False
Interchess.,False,True,False,False,False,False,False,False,False,False
"In the rapid tournament you mention, Anand was very lucky not to be knocked out - Sasikiran missed a two move pin and win of a piece.",False,False,True,False,False,True,False,False,True,False
dear readers lets build chess and our fellow chess players.,False,True,False,False,False,False,False,False,False,False
Nhchess.quinsy.net.,False,True,False,False,False,False,False,False,False,False
"Both games were drawn, which left stenstad the champion because he had superior tiebreaks in the tournament.",False,False,True,False,False,False,False,False,False,False
"Finally, in 2018, Carlsen and Fabiano Caruana completed one of the most impressive feats in chess history.",False,True,False,False,False,False,False,False,False,False
"[244] After the match, Carlsen announced that ""Unless Firouzja wins the Candidates Tournament, it is unlikely that I will play the next world championship match.""",False,False,False,True,True,False,False,False,True,True
"""Magnus Carlsen extends gap at top of world rankings with Isle of Man win"" .",False,False,False,False,False,False,False,False,True,True
"If anyone can do it, its Carlsen  and theres no better time than the present, given how much the realm of whats possible in chess has expanded since Carlsen became the face of the sport.",False,True,False,False,False,False,False,False,False,False
"[430] The group then acquired Chessable, an interactive marketplace and platform for learning chess, in September 2019.",False,True,False,False,False,False,False,False,False,False
"^ ""Peter Svidler wins Aker Chess Challenge in Gjvik"" .",False,False,False,True,False,False,False,False,True,False
"His breakthrough occurred in the Norwegian junior teams championship in September 2000, where he scored 3/5 against the country's top junior players and gained a tournament performance rating (TPR) of around 2000.",False,False,True,False,True,False,False,False,False,False
"[103] Carlsen then played in a rapid tournament 2830 August at the Arctic Securities Chess Stars tournament in Kristiansund, Norway.",False,False,True,False,False,True,False,False,False,False
I guess also Ka$parov is learning here and at the same time renewing his openingtheory.,False,False,False,False,False,False,False,False,True,False
"Of course it doesn't really say so much, in most tournaments that goes for several players apart from the winner.",False,False,True,False,False,False,False,False,True,False
"[221] He said at the end of the first day of blitz: ""Everything's going wrong.",False,False,False,False,False,False,True,False,False,False
"Reports about chess: tournaments, championships, portraits, interviews, World Championships, product launches and more.",False,True,True,False,True,False,False,False,False,False
"^ ""Wijk R13: Aronian, Carlsen win Wijk aan Zee 2008"" .",False,False,False,False,False,False,False,False,True,False
"^ ""Chess star wins prestigious award"" .",False,False,False,True,False,False,False,False,True,False
"""Norwegian teenager to be crowned new chess king"" .",False,True,False,False,False,False,False,False,False,False
"In Amber rapid Carlsen scored 9.5/11 and Aronian 7/11, while Anand scored the same 6/11 as Topalov after losing against Aronian, Ivanchuk and Carlsen.",False,False,False,False,False,True,False,False,False,False
"""Tata Steel Rd13: Magnus Carlsen wins fifth title"" .",False,False,False,True,False,False,False,False,True,False
"With early wins over Bacrot, Wang Yue, and Topalov with white, Carlsen took the early lead, extending his winning streak with white in Nanjing to eight.",False,False,False,True,False,False,False,False,True,False
"[204] From 28 May to 7 June, he competed in the sixth edition of Norway Chess, placing second with 4/8 (+21=5), half a point behind winner Caruana.",False,False,False,False,False,False,False,False,True,False
It was the first decisive result in a classical time limit World Chess Championship game in more than 5 years and at 136 moves was also the longest game in World Chess Championship history.,False,False,False,False,False,False,False,True,False,False
"You feel that they are miles apart, but they have more in common than they seem and they reinforce each other, said Myra Rooselaar, chairwoman of the Tata Steel Chess tournament.",False,False,True,False,False,False,False,False,False,False
"[80] In the Linares chess tournament , Carlsen finished third with a 2777 PR.",False,True,True,False,False,False,False,False,False,False
"^ ""When artificial intelligence evaluates chess champions"" .",False,True,False,False,False,False,False,False,False,False
"In the third game, Carlsen was defeated by Niemann, ending his 53-game unbeaten streak in classical chess that chess24 described as a ""stunning victory"".",False,True,False,False,False,False,False,True,False,False
www.chessgames.com .,False,True,False,False,False,False,False,False,False,False
The quartet who crushed a mini-golf world record to raise money for Kentucky flood relief.,False,False,False,False,False,False,False,False,False,True
I want to check whether my science of chess psychology is right.,False,True,False,False,False,False,False,False,False,False
"^ ""Jan-Krzysztof Duda wins the 2021 World Cup"" .",False,False,False,True,False,False,False,False,True,False
"The next world championship will be played in early 2023, though the exact dates have not been announced.",False,False,False,False,True,False,False,False,False,True
"[247] He finished with a score of 16/30, [247] with no losses and three wins, including wins against Teimour Radjabov , Anish Giri and Shakhriyar Mamedyarov .",False,False,False,True,False,False,False,False,True,False
[157] This tournament victory meant that Carlsen began 2015 by winning two out of two tournaments.,False,False,True,False,False,False,False,False,True,False
"With his victory, Carlsen overtook Veselin Topalov of Bulgaria to become the worlds top-ranked player .",False,False,False,False,False,False,False,False,False,True
"""Carlsen beats Nakamura in 3-hour blitz battle"" .",False,False,False,False,False,False,True,False,False,False
"""Magnus Carlsen, chess prodigy from Norway"" .",False,True,False,False,False,False,False,False,False,False
In the first part I estimated chances of winning the World Cup 2013 by Levon Aronian (around 11%)... Bartek Macieja.,False,False,False,False,False,False,False,False,True,False
"He scored an undefeated 8/10, winning every game as white (against Topalov, Wang Yue , Leko, Teimour Radjabov , and Dmitry Jakovenko ), and also winning as black against Jakovenko.",False,False,False,False,False,False,False,False,True,False
"The statement claimed that, with 19-yearold Carlsen established at the world top, his cooperation with Kasparov had achieved its objectives ahead of schedule and that the Norwegian no longer needed constant guidance.",False,False,False,False,False,False,False,False,False,True
You're about to play to strong tournaments - the Pearl Spring in Nanjing and the Tal Memorial in Moscow - to what extend will he be involved in your specific tournament preparation?,False,False,True,False,False,False,False,False,False,False
We will know at the very end of the tournament... (592).,False,False,True,False,False,False,False,False,False,False
Other world championships.,False,False,False,False,True,False,False,False,False,True
"Skip to main content Skip to navigation Advertisement US edition US edition UK edition Australia edition International edition The Guardian - Back to home The Guardian: news website of the year Search jobs Sign in Search News Opinion Sport Culture Lifestyle Show More Show More News US news World news Environment Soccer US politics Business Tech Science Newsletters Fight to vote Opinion The Guardian view Columnists Letters Opinion videos Cartoons Sport Soccer NFL Tennis MLB MLS NBA NHL F1 Culture Film Books Music Art & design TV & radio Stage Classical Games Lifestyle Fashion Food Recipes Love & sex Home & garden Health & fitness Family Travel Money Search Search Make a contribution Subscribe Search jobs Digital Archive Guardian Puzzles app Guardian content licensing site The Guardian app Video Podcasts Pictures Inside the Guardian Guardian Weekly Crosswords Corrections Facebook Twitter Search jobs Digital Archive Guardian Puzzles app Guardian content licensing site Soccer NFL Tennis MLB MLS NBA NHL F1 Leonard Barden on chess Chess World No1 Magnus Carlsen parts company with mentor Garry Kasparov 3130: V Anand v R Kempinski, Baden v Hamburg 2010.",False,True,False,False,False,False,False,False,False,False
Live GM commentary on Playchess.,False,True,False,False,False,False,False,False,False,False
"^ ""Magnificent Magnus, the world's youngest grandmaster"" .",False,False,False,False,False,False,False,False,False,True
He really try to win every game.,False,False,False,False,False,False,False,False,True,False
"He also won the Sparkassen Chess-Meeting in Dortmund, Germany, the ninth time he has won that tournament.",False,False,True,False,False,False,False,False,False,False
The clear winner with 5 points (+40=3) was Levon Aronian.,False,False,False,False,False,False,False,False,True,False
"The March Fide world rankings gave Carlsen the second highest rating figure in history, 2815, surpassed only by his erstwhile mentor.",False,False,False,False,False,False,False,False,False,True
"^ ""Amber: Carlsen and Ivanchuk win 19th Amber"" .",False,False,False,False,False,False,False,False,True,False
When Vladimir Kramnik became world champion he game became more defensive.,False,False,False,False,False,False,False,False,False,True
"[209] He defended his blitz title, going unbeaten to finish clear first on a score of 17/21 (+130=8).",False,False,False,False,False,False,True,False,False,False
"""GRENKE Final: Carlsen wins in Armageddon!"" .",False,False,False,True,False,False,False,False,True,False
"He thus extended his unbeaten streak in classical chess to 101 games , surpassing Ding's record of 100 games.",False,True,False,False,False,False,False,True,False,False
"^ ""Wijk aan Zee Rd13: Aronian is sole winner!"" .",False,False,False,False,False,False,False,False,True,False
"I didn't predict this, but I defended the invitation to her (http://www.chessvibes.com/announcement/75th-tata-steel-tournament-player...).",False,True,True,False,False,False,False,False,False,False
"Two weeks later, Carlsen faced Niemann in the Julius Baer Generation Cup, a section of the Champions Chess Tour 2022 , an online chess tour.",False,True,False,False,False,False,False,False,False,False
Rapid chess match against Borki Predojevi [280].,False,True,False,False,False,False,False,False,False,False
"Carlsen made headlines after his victory, at the age of 13, in the C group at the 2004 Corus chess tournament in Wijk aan Zee .",False,True,True,False,False,False,False,False,False,False
"^ ""Bilbao R10: Topalov wins Bilbao, leads in live rankings"" .",False,False,False,True,False,False,False,False,True,False
I also have friends locally with whom I will hang out if I am not playing chess.,False,True,False,False,False,False,False,False,False,False
"Having already won the tournament, Magnus Carlsen was under pressure against Anish Giri in the final round but escaped with a draw, finishing on 10/... Carlsen wins 75th Tata Steel with a round to spare.",False,False,True,True,False,False,False,False,True,False
"""Veteran Vishy Anand secures surprise title at world rapids in Riyadh"" .",False,False,False,False,False,True,False,False,False,True
"In the 13-round tournament, he scored 10 points (+70=6), winning clear first 1 points ahead of second-place finisher Aronian.",False,False,True,False,False,False,False,False,True,False
Do you believe in the spirit world?,False,False,False,False,False,False,False,False,False,True
"One doesn't play chess, without a fighting spirit.",False,True,False,False,False,False,False,False,False,False
"[400] [401] [402] Jon Speelman , analysing several of Carlsen's endgames from the 2012 London Classic (in particular, his wins against McShane, Aronian, and Adams), described what he calls the ""Carlsen effect"": ... through the combined force of his skill and no less important his reputation, he drives his opponents into errors.",False,False,False,True,False,False,False,False,True,False
"Then he would also be a mental coach, rather than just a chessic one .... .",False,True,False,False,False,False,False,False,False,False
"""Skksamband slands  Glitnir blitz 2006"" .",False,False,False,False,False,False,True,False,False,False
But chess is more.,False,True,False,False,False,False,False,False,False,False
"Thats what happened at my last tournament, which is unfortunate for me but the rules were the rules.",False,False,True,False,False,False,False,False,False,False
"Kind of sad that a future world champion, can finish -2 without a win at a prestigious world tournament a few months before the match.",False,False,True,False,False,False,False,False,True,True
"^ ""LCC R9: Carlsen first, Kramnik second, both with big wins"" .",False,False,False,True,False,False,False,False,True,False
2 in the world at the time and had won the 2003 World Rapid Chess Championship .,False,False,False,False,False,False,False,False,False,True
"A chess prodigy , Carlsen finished first in the C group of the Corus chess tournament shortly after he turned 13 and earned the title of grandmaster a few months later.",False,True,True,False,False,False,False,False,False,False
"""chess24 and Play Magnus join forces"" .",False,True,False,False,False,False,False,False,False,False
Main menu Main menu Main page About Ghostarchive Report a bug or provide feedback Switch to the old website look Archived page not showing up?,False,False,False,False,False,False,False,False,True,False
Carlsen won the 72nd Corus chess tournament played 1631 January with 8 points.,False,True,True,False,False,False,False,False,False,False
"[200] Carlsen then defeated Giri 1 in the blitz playoff, thus winning the tournament for a record sixth time.",False,False,True,False,False,False,True,False,True,False
"On Wednesday, Carlsen will be one of the chess grandmasters from the Tata Steel Masters and Tata Steel Challengers taking part in a friendly soccer match with players from Dutch team Telstar FC.",False,True,False,False,False,False,False,False,False,False
He may be the biggest celebrity in chess since Fischer.,False,True,False,False,False,False,False,False,False,False
"^ ""Kasimdzhanov and Anand win 3:1, 3:1"" .",False,False,False,False,False,False,False,False,True,False
"^ ""Norwegian Carlsen is youngest to top chess rankings"" .",False,True,False,False,False,False,False,False,False,False
"none of his games, drawing all and winning one.",False,False,False,False,False,False,False,False,True,False
"""Tata Steel Chess: Caruana ends with a win, Anton clinches Challengers"" .",False,False,False,False,False,False,False,False,True,False
"That was a best-of-12 series, but Carlsen only needed 10 games, winning 6.5 to 3.5.",False,False,False,False,False,False,False,False,True,False
"Congratulations to the victors, but recognize that Anand and Gelfand are preparing for a world championship match and cannot play all their cards here.",False,False,False,False,True,False,False,False,False,True
"[217] In late May, Carlsen won his sixth tournament in a row, winning the Lindores Abbey Chess Stars Tournament.",False,False,True,False,False,False,False,False,True,False
chess 24 .,False,True,False,False,False,False,False,False,False,False
uschesschamps.com .,False,True,False,False,False,False,False,False,False,False
Carlsen won the tournament by winning both tiebreak games against Caruana.,False,False,True,False,False,False,False,False,True,False
"Vassily Ivanchuk of Ukraine, Kramniks last round opponent, missed several chances to win and settled for a tie for second with Magnus Carlsen of Norway, who beat Peter Leko of Hungary.",False,False,False,False,False,False,False,False,True,False
Carlsen wins 75th Tata Steel with a round to spare.,False,False,False,True,False,False,False,False,True,False
"On 5 September 2008, after winning in round 4 of the Bilbao Masters , Carlsen, aged 17 years and 280 days old, briefly became No.",False,False,False,False,False,False,False,False,True,False
"In the 11 rounds, he achieved eight draws and three losses in the blindfold games, as well as three wins, seven draws and one loss in the rapid games.",False,False,False,True,False,True,False,False,True,False
"He defeated Kramnik in round one and went on to win the tournament with 13/21 (three points were awarded for a win, and one for a draw; using classical scoring he finished with 5/7) and a PR of 2844, one point ahead of Kramnik.",False,False,True,False,False,False,False,True,True,False
"[69] At the Linares chess tournament, Carlsen had another 2800+ PR, scoring 8/14.",False,True,True,False,False,False,False,False,False,False
"9: Carlsen beats Giri and wins tournament"" .",False,False,True,True,False,False,False,False,True,False
"[257] This was the first time in Carlsen's career to withdraw from a major event in progress, and was considered ""virtually unprecedented"" in top level chess.",False,True,False,False,False,False,False,False,False,False
"Tata R13: Carlsen wins by 1.5 points, Naiditsch first on tie-break in B, Brunello clear first in C. (106).",False,False,False,True,False,False,False,False,True,False
"Tata R13: Carlsen wins by 1.5 points, Naiditsch first on tie-break in B, Brunello clear first in C. (0).",False,False,False,True,False,False,False,False,True,False
"Because Carlsen is the higher-ranked player in every game he plays, his wins only add a limited number of points to his rating, and his draws usually decrease his rating.",False,False,False,True,False,False,False,False,True,False
"He took clear first place with a score of 19/30 (+51=4; three points for a win) in a field comprising Fabiano Caruana, Maxime Vachier-Lagrave, Alexander Morozevich, Alexey Shirov and Yannick Pelletier, two points ahead of Morozevich.",False,False,False,False,False,False,False,False,True,False
"During the COVID-19 pandemic , which prompted the cancellation of many physical tournaments, Carlsen organized the Magnus Carlsen Invitational along with Chess24 .",False,False,True,False,False,False,False,False,False,False
Then the next week Id go to a tournament and try it out and see how it goes.,False,False,True,False,False,False,False,False,False,False
"With a performance rating of 2983, this was Carlsen's third best tournament result ever, behind only Nanjing 2009 (3002 TPR) and London 2012 (2994 TPR).",False,False,True,False,False,False,False,False,False,False
"Carlsen played nine games for Norway in the 41st Chess Olympiad , scoring five wins, two draws, and two losses (against Arkadij Naiditsch and Ivan ari ).",False,False,False,True,False,False,False,False,True,False
chess24.com .,False,True,False,False,False,False,False,False,False,False
"""Playing a young Magnus Carlsen at chess"" .",False,True,False,False,False,False,False,False,False,False
"Carlsen won the category 21 Nanjing Pearl Spring tournament, 2 points ahead of second-place finisher Topalov, the world's highest-rated player at the time.",False,False,True,False,False,False,False,False,False,True
"Carlsen won the first rapid game, Agdestein the second.",False,False,False,False,False,True,False,False,False,False
Sven Magnus en Carlsen [a] (born 30 November 1990) [1] [2] is a Norwegian chess grandmaster who is the reigning five-time World Chess Champion .,False,True,False,False,False,False,False,False,False,False
"Carlsen's next tournament was the Pearl Spring chess tournament on 1930 October in Nanjing , China, against Anand, Topalov, Vugar Gashimov , Wang Yue, and tienne Bacrot .",False,True,True,False,False,False,False,False,False,False
"[31] His victory in the C group qualified him to play in the B group in 2005, and it led Lubomir Kavalek , writing for the Washington Post , to give him the title ""the Mozart of chess"" (although, as pointed out by Edward Winter , the nickname had been given to many illustrious predecessors).",False,True,False,False,False,False,False,False,False,False
"He had suggested that he might consider the record broken only if he won another two matches as two wins, in the Norwegian League, were against opponents ranked more than 500 points lower than him.",False,False,False,True,False,False,False,False,True,False
"An undefeated +2 in this super strong tournament means that he's now won 13.3 rating points for the January 2012 list, not long after passing the 2800 barrier.",False,False,True,False,False,False,False,False,False,False
"Drawing the final four games was sufficient to win the tournament with 9 points out of 13, half a point ahead of Anish Giri, Maxime Vachier-Lagrave, Wesley So and Ding Liren .",False,False,True,False,False,False,False,False,True,False
En.chessbase.com .,False,True,False,False,False,False,False,False,False,False
"Throughout the year, Carlsen also participated in many online chess tournaments as part of the Meltwater Champions Chess Tour .",False,True,True,False,False,False,False,False,False,False
"His score of 28 wins, 6 draws and 8 losses left him three points ahead of Anand, who finished in second place.",False,False,False,True,False,False,False,False,True,False
"[234] During the tournament, Carlsen's unbeaten streak in classical chess was ended by Jan-Krzysztof Duda .",False,True,True,False,False,False,False,True,False,False
He was then defeated in the third round by Bu Xiangzhi +01=1 and eliminated from the tournament.,False,False,True,False,False,False,False,False,False,False
"[141] Later that month, Carlsen played a four-game friendly rapid match against Borki Predojevi , which he won 21.",False,False,False,False,False,True,False,False,False,False
"^ ""Carlsen beats Anand, wins Arctic Securities Rapid"" .",False,False,False,True,False,False,False,False,True,False
Last seed Ian Nepomniachtchi played a fine tournament.,False,False,True,False,False,False,False,False,False,False
Classical international individual and team tournaments.,False,False,True,False,False,False,False,False,False,False
Usually the one with five draws wins but in this case the one who scores two wins comes out ahead.,False,False,False,True,False,False,False,False,True,False
Magnus Carlsen member profile at Lichess.,False,True,False,False,False,False,False,False,False,False
"Carlsen won all three rapid games, but the match was otherwise a dead heat.",False,False,False,False,False,True,False,False,False,False
"""Magnus Carlsen (19) suveren vinner av Folkets Idrettspris"" [Magnus Carlsen (19) clear winner of People's Sports Prize].",False,False,False,False,False,False,False,False,True,False
"^ ""Tal-Mem Blitz: Anand wins with two point lead"" .",False,False,False,True,False,False,False,False,True,False
"My opponents were weaker, I got more of a chance to win with that style.",False,False,False,False,False,False,False,False,True,False
"FM Stanislav Cifka turns to Magic, wins US $40,000 (10) 22 November 2012.",False,False,False,True,False,False,False,False,True,False
"RATING Biography Statistics Schedule Latest Videos company Blog Contact Us Press magnus trainer Train Chess Memberships Lessons on Web Help Center play magnus Play Chess Play Live Challenge Help Center Tactics Frenzy Play Tactics Frenzy Memberships Prizes(coming soon) Help Center connect Skilling Skilling is a Scandinavian-owned multi-asset trading platform, which offers online trading on a wide range of world markets, such as Norwegian and international stocks, stock indices, commodities, or cryptocurrencies.",False,False,False,False,False,False,False,False,False,True
"[391] [ non-primary source needed ] Carlsen has also stated that he follows in the traditions of Karpov and Fischer, but additionally mentions Reuben Fine as a player who ""was doing in chess similar to what I am doing"".",False,True,False,False,False,False,False,False,False,False
What did he think of play in the last world championships [in which he did not compete]?,False,False,False,False,True,False,False,False,False,True
His win over Vladimir Georgiev helped his team to a 32 win over Nordstrand.,False,False,False,False,False,False,False,False,True,False
"IF he wins, the WC match itself will be even harder.",False,False,False,True,False,False,False,False,True,False
grandchesstour.org .,False,True,False,False,False,False,False,False,False,False
Bacrot deprived Carlsen of a win in the classical tournament by holding him to a draw in the final round.,False,False,True,False,False,False,False,True,True,False
"Although he did not win the tournament, Carlsen gained rating points, rising to a new personal record of 2835.",False,False,True,False,False,False,False,False,True,False
"From 9 to 14 November, Carlsen faced Ding Liren in the 2017 Champions Showdown, a match consisting of 10 rapid and 20 blitz games, hosted by the Saint Louis Chess Club.",False,False,False,False,False,True,True,False,False,False
"He finished fifth in the rapid event, scoring 10/15 (+83=4).",False,False,False,False,False,True,False,False,False,False
The top-rated chess player in the world enters the room and without any introduction he starts lecturing.,False,True,False,False,False,False,False,False,False,True
Sofia won the tournament with a score of 8.5/9 and a performance of 2928.,False,False,True,False,False,False,False,False,False,False
"From the great, dominant player that he was in his younger years and that hes showing serious signs of now he became, well, boring.",False,False,False,False,False,False,False,False,True,False
"With his loss, Carlsen became the de facto winner.",False,False,False,False,False,False,False,False,True,False
Rory McIlroy on 2022 Tour Championship win and LIV Golf.,False,False,False,False,False,False,False,False,True,False
"It turned out that Carlsen had been sick since the beginning of the tournament and he was still a little ill at the end, according.",False,False,True,False,False,False,False,False,False,False
It's just title of the world champion.,False,False,False,False,False,False,False,False,False,True
"^ ""Tal Final: Gelfand wins, Carlsen clear second"" .",False,False,False,True,False,False,False,False,True,False
"Carlsen competed in the GM-A group of the 73rd Tata Steel Chess Tournament (formerly called the Corus chess tournament) on 1430 January in Wijk aan Zee in an attempt to defend his title; the field included World Champion Viswanathan Anand, Levon Aronian, former World Champion Vladimir Kramnik, Alexander Grischuk , Hikaru Nakamura, Ruslan Ponomariov, among others.",False,True,True,False,False,False,False,False,False,False
Anyone who wants to claim the title of the best player in the world has to beat him in a match.,False,False,False,False,False,False,False,False,False,True
chessvibes logo.,False,True,False,False,False,False,False,False,False,False
chess24 .,False,True,False,False,False,False,False,False,False,False
"[368] [369] Carlsen's victory in the 2009 Nanjing Pearl tournament raised his FIDE rating to 2801, making him, aged 18 years and 336 days, at the time the youngest player ever to surpass 2800 [83] (a record subsequently broken by Alireza Firouzja).",False,False,True,False,False,False,False,False,False,False
"Carlsen recovered somewhat in the latter part of the tournament, achieving a win over Shirov, and finishing with 2/6.",False,False,True,False,False,False,False,False,True,False
For Leko and Morozevich it was the capper to a disappointing tournament in which each lost.,False,False,True,False,False,False,False,False,False,False
"In a 2012 interview, Vladimir Kramnik stated that Carlsen's ""excellent physical shape"" was a contributing factor to his success against other top players as it prevents ""psychological lapses"", which enables him to maintain a high standard of play over long games and at the end of tournaments, when the energy levels of others have dropped.",False,False,True,False,False,False,False,False,False,False
Most blacks is a terrible way to decide a tournament winner.,False,False,True,False,False,False,False,False,True,False
"^ ""Shipov wins Midnight Sun, Carlsen second"" .",False,False,False,True,False,False,False,False,True,False
"These setbacks called into question from some whether Carlsen's activities outside chess, such as modelling for G-Star Raw , were distracting him from performing well at the chessboard.",False,True,False,False,False,False,False,False,False,False
"If there is no chess tournament on the horizon, I might relax by playing football with friends or having a game of squash or tennis.",False,True,True,False,False,False,False,False,False,False
"Apart from teaching him chess moves and -tactics, I think Kasparov kan be a strong mentally support for Magnus.",False,True,False,False,False,False,False,False,False,False
Ideally Anand would win more tournaments but considering his age and ambition I don't think there is big problem.,False,False,True,False,False,False,False,False,True,False
Someone in the crowd compares Carlsen's decision not to compete in this year's world championship tournament to Usain Bolt slowing down before the finish line at the 2008 Olympics.,False,False,True,False,True,False,False,False,True,True
"[games 1] At the age of just 13 years, Carlsen had serious winning chances in a rapid game against Kasparov, [35] who was ranked No.",False,False,False,False,False,True,False,False,True,False
"Also during this tournament, Carlsen recorded his first victory over Anish Giri in a classical game.",False,False,True,False,False,False,False,True,False,False
"Simen Agdestein emphasises Carlsen's exceptional memory, stating that he was able to recall the locations, populations, flags and capitals of all the countries in the world by age five.",False,False,False,False,False,False,False,False,False,True
Grandchesstour.org .,False,True,False,False,False,False,False,False,False,False
"^ ""Linares R14: All games drawn, Grischuk wins on tiebreak"" .",False,False,False,True,False,False,False,False,True,False
But I think the idea behind it is that in this type of tournament some players will be playing at a slight disadvantage having more blacks and it is generally accepted that black has an edge.,False,False,True,False,False,False,False,False,False,False
"From 29 January to 4 February, Carlsen played in the Zurich Chess Challenge , winning the blitz event (+21=2) and the classical event (+30=2).",False,False,False,False,False,False,True,True,True,False
"^ ""The remarkable Alexander Morozevich wins Biel"" .",False,False,False,True,False,False,False,False,True,False
chess-news.ru.,False,True,False,False,False,False,False,False,False,False
He proved his worth winning many a tourneo.,False,False,False,False,False,False,False,False,True,False
"Carlsen, the worlds No.1 chess player and, such was his prodigious talent, described as the Mozart of chess as a 14-year-old, drew against Jorden van Foreest in the fourth round of the Wijk aan Zee tournament in the Netherlands to break the record.",False,True,True,False,False,False,False,False,False,True
"[108] [109] The average Elo of the participants at the time was 2789, making the Grand Slam Final the strongest chess tournament in history.",False,True,True,False,False,False,False,False,False,False
"As I said during the round, it looked like everyone else was playing blitz while he was playing chess!",False,True,False,False,False,False,True,False,False,False
The New York Times chess blog has ended.,False,True,False,False,False,False,False,False,False,False
"[183] Carlsen's performance rating in the blitz portion of the tournament was 3018, which Garry Kasparov described as ""phenomenal"".",False,False,True,False,False,False,True,False,False,False
"Carlsen won the London Chess Classic in December with five wins (over McShane, Aronian, Gawain Jones , Adams and Judit Polgr) and three draws (against Kramnik, Nakamura and Anand).",False,False,False,True,False,False,False,False,True,False
But the gap appeared to be narrowing.,False,False,False,False,False,False,False,False,True,False
"Carlsen won his last two games to tie for first on 6/11 (+20=9) with Ding, but lost the tiebreak 13, drawing both rapid games then losing two consecutive blitz games.",False,False,False,False,False,True,True,False,True,False
"""Chess: Barden on chess | Sport"" .",False,True,False,False,False,False,False,False,False,False
"Carlsen catches Aronian in last round, wins Tal Memorial on tiebreak.",False,False,False,True,False,False,False,False,True,False
